site,name,prov,type,lon,lat,alt,I,moveTimes,tag,period_date_begin,period_date_end,date_begin,date_end,n_all,n_period
53688,行唐,河北,一般站,114.55,38.45,95.8,1787,5,3,1983-01-01,1998-04-30,1970-01-01,2018-12-31,17897,5599
53689,晋州,河北,一般站,115.06666666666666,38.016666666666666,42.4,1792,3,3,1979-12-01,2018-12-31,1969-06-01,2018-12-31,18111,14276
53690,阜平,河北,一般站,114.18333333333334,38.85,281.9,1796,4,4,1983-01-01,2018-12-31,1958-03-01,2018-12-31,22221,13149
53691,正定,河北,一般站,114.56666666666666,38.15,71.0,1802,6,6,2003-01-01,2018-12-31,1972-01-01,2018-12-31,17167,5844
53692,唐县,河北,一般站,114.98333333333333,38.733333333333334,65.9,1804,3,2,1981-06-01,2007-03-31,1963-01-01,2018-12-31,20454,9435
53693,井陉,河北,一般站,114.13333333333334,38.03333333333333,255.5,1812,7,7,1980-08-01,2018-12-31,1956-01-01,2018-12-31,23011,14032
53694,平山,河北,一般站,114.2,38.3,136.0,1815,5,3,1964-01-01,1982-12-31,1960-01-01,2018-12-31,21550,6940
53695,新乐,河北,一般站,114.68333333333334,38.35,75.0,1819,6,2,1963-03-01,1989-04-30,1961-01-01,2018-12-31,21184,9558
53696,定州,河北,一般站,115.0,38.516666666666666,54.8,1830,8,7,1988-07-01,2013-12-31,1955-01-01,2018-12-31,23376,9315
53697,藁城,河北,一般站,114.83333333333333,38.016666666666666,51.8,1836,8,5,1972-08-01,1993-12-31,1959-01-01,2018-12-31,21915,7823
53698,石家庄,河北,基本站,114.43333333333334,38.06666666666667,81.8,1841,6,2,1956-02-01,1980-01-31,1955-01-01,2018-12-31,23376,8766
53699,无极,河北,一般站,114.96666666666667,38.2,45.1,1847,3,2,1967-12-01,1995-12-31,1966-01-01,2018-12-31,19358,10258
53704,中卫,宁夏,基本站,105.18333333333334,37.53333333333333,1225.7,1851,4,3,1971-03-01,2018-01-31,1958-11-01,2018-12-31,21976,17139
53705,中宁,宁夏,基本站,105.66666666666667,37.483333333333334,1183.3,1857,7,5,1970-07-01,2002-12-31,1953-01-01,2018-12-31,24106,11872
53707,兴仁,宁夏,一般站,105.25,36.93333333333333,1697.9,1862,3,3,1985-01-01,2018-12-31,1958-01-01,2018-12-31,22280,12418
53723,盐池,宁夏,基本站,107.4,37.78333333333333,1347.8,1865,5,3,1971-02-01,2002-12-31,1954-01-01,2018-12-31,23741,11657
53725,定边,陕西,基准站,107.58333333333333,37.583333333333336,1360.3,1872,7,5,1969-01-01,2017-11-30,1956-09-01,2018-12-31,22767,17866
53727,麻黄山,宁夏,一般站,107.11666666666666,37.166666666666664,1712.0,1877,5,3,1971-03-01,2003-12-31,1959-09-01,2018-12-31,21672,11994
53730,鄂托克前旗,内蒙古,一般站,107.48333333333333,38.18333333333333,1333.3,1883,4,4,1986-01-01,2018-12-31,1967-01-01,2018-12-31,18993,12053
53732,河南,内蒙古,一般站,108.71666666666667,37.85,1209.9,1886,3,3,1975-12-01,2018-12-31,1959-05-01,2018-12-31,21795,15737
53735,靖边,陕西,基本站,108.8,37.61666666666667,1335.8,1890,6,4,1973-01-01,2004-08-31,1956-10-01,2018-12-31,22737,11566
53738,吴旗,陕西,基本站,108.18333333333334,36.833333333333336,1272.6,1895,6,3,1963-01-01,1990-12-31,1956-10-01,2018-12-31,22737,10227
53740,横山,陕西,基本站,109.23333333333333,37.93333333333333,1111.0,1903,7,5,1982-09-01,2017-11-30,1954-01-01,2018-12-31,23741,12875
53748,子长,陕西,一般站,109.7,37.18333333333333,1063.3,1908,3,3,1963-01-01,2018-12-31,1956-11-01,2018-12-31,22706,20454
53750,米脂,陕西,一般站,110.16666666666667,37.766666666666666,872.0,1910,3,2,1970-07-01,2006-12-31,1959-01-01,2018-12-31,21915,13333
53751,子洲,陕西,一般站,110.05,37.6,894.0,1913,5,2,1971-01-01,2004-08-31,1956-11-01,2018-12-31,22706,12297
53753,柳林,山西,一般站,110.88333333333334,37.43333333333333,860.1,1919,3,3,1994-01-01,2018-12-31,1975-01-01,2018-12-31,16071,9131
53754,绥德,陕西,基准站,110.21666666666667,37.5,929.7,1923,6,4,1963-01-01,2017-11-30,1953-01-01,2018-12-31,24106,20058
53756,吴堡,陕西,一般站,110.71666666666667,37.516666666666666,752.5,1928,7,3,1974-04-01,2006-12-31,1959-02-01,2018-12-31,21884,11963
